user1,user2,weight
1107,1328,1
154,726,4
726,816,4
368,726,3
726,969,2
726,1110,2
726,1385,1
726,909,4
726,1496,3
165,726,4
726,1113,3
726,932,5
726,1107,2
154,816,5
154,1110,3
154,1385,5
154,909,7
154,1496,11
154,165,8
154,1113,18
154,932,16
154,1107,4
368,816,6
816,969,3
816,1110,3
816,1385,3
816,909,5
816,1496,6
165,816,1
816,1113,5
816,932,7
816,1107,3
368,969,3
368,1110,2
368,1385,5
368,1496,10
165,368,5
368,1113,11
368,932,16
368,1107,3
969,1110,2
969,1385,1
909,969,2
969,1496,1
165,969,1
969,1113,2
932,969,2
969,1107,3
909,1110,2
1110,1496,2
165,1110,1
1110,1113,3
932,1110,3
1107,1110,3
909,1385,3
1385,1496,3
165,1385,1
1113,1385,4
932,1385,3
1107,1385,2
909,1496,10
165,909,5
909,1113,8
909,932,9
909,1107,3
703,909,7
106,909,2
165,1496,12
1113,1496,18
932,1496,8
1107,1496,4
703,1496,9
106,1496,4
165,1113,8
165,932,5
165,1107,1
165,703,2
106,165,3
932,1113,15
1107,1113,6
703,1113,5
106,1113,6
932,1107,2
703,932,8
106,932,8
703,1107,2
106,1107,2
106,703,2
60,848,2
848,889,4
848,1119,1
1023,1156,3
869,1156,3
931,1053,1
116,1516,1
363,428,5
446,1097,4
686,1150,1
1035,1121,1
629,1385,3
629,1007,2
1100,1105,15
1105,1385,2
1007,1105,1
1100,1385,4
1007,1100,3
1007,1385,2
1025,1464,1
324,1464,3
220,1140,2
1169,1286,1
1056,1121,3
44,919,1
806,969,1
681,1506,1
1294,1348,1
1121,1348,3
861,1121,1
0,1121,1
166,1155,2
892,1345,1
1026,1155,2
961,1155,1
629,1140,7
480,1155,2
842,1163,1
867,1186,1
154,1105,13
1081,1516,2
826,866,3
1117,1328,2
1117,1374,4
832,1121,1
386,1122,3
428,970,6
116,1035,1
856,866,14
921,1027,1
869,1001,3
681,919,3
1010,1092,1
220,1097,2
220,1092,1
857,1142,5
684,1122,3
154,819,1
726,819,1
39,910,6
958,1105,7
1105,1366,5
154,471,1
154,869,2
471,1121,1
471,1042,1
471,869,1
471,501,3
866,1121,8
1042,1121,1
1100,1121,5
969,1121,1
869,1121,1
866,869,1
501,866,5
869,1042,1
869,1100,2
869,969,1
501,869,1
980,1117,5
969,980,2
629,980,2
980,1001,1
980,1156,2
368,1117,6
1117,1156,5
368,1155,11
1155,1156,1
368,1100,10
1001,1100,3
1100,1156,2
969,1156,1
368,629,11
368,1001,1
368,1156,4
629,1001,1
629,1156,2
1001,1156,3
1294,1328,1
414,491,1
414,550,1
142,1163,1
142,185,1
142,802,1
142,1117,2
185,1163,1
802,1163,2
1117,1163,4
485,1163,1
1163,1516,1
185,802,1
185,1117,2
185,485,2
185,1516,1
485,802,1
802,919,2
485,1117,2
919,1117,8
919,1516,1
487,1356,2
1130,1140,10
1103,1117,18
1117,1140,10
1103,1140,5
980,1029,3
231,1456,2
428,866,9
866,1111,1
1115,1170,11
1105,1437,2
946,1437,5
930,1437,2
866,1041,9
154,1041,4
1041,1105,1
346,1437,28
346,880,15
880,946,20
346,1400,3
930,1151,1
324,930,6
324,629,10
324,946,9
106,857,2
857,1105,3
346,857,2
106,856,7
856,1105,14
346,856,8
106,1105,7
106,346,6
949,1041,1
1041,1045,1
154,949,3
154,1045,6
949,1045,3
363,930,4
930,1155,4
932,1170,103
1041,1128,4
866,1060,12
946,1060,6
856,1128,1
857,1128,1
866,1128,18
857,866,3
346,1128,2
1031,1128,1
629,1041,10
946,1041,8
946,1128,4
930,1041,6
346,1041,2
1089,1128,1
930,1128,2
1023,1041,1
930,1023,4
629,1023,7
866,1151,2
1128,1151,1
880,1128,3
614,1128,1
1100,1128,1
324,866,12
892,930,1
866,892,1
892,946,1
880,1041,1
324,1041,2
866,1009,3
1041,1155,1
1041,1170,1
0,930,7
0,629,7
0,880,5
0,1130,21
930,1130,7
629,1130,12
880,1130,9
946,1009,2
969,1009,1
629,856,10
1041,1430,1
1041,1117,1
969,1041,1
969,1374,1
866,1130,43
930,1234,13
1103,1234,10
1041,1234,1
1130,1430,11
946,1140,15
1140,1234,15
1115,1234,1
1103,1115,1
1115,1130,1
1130,1234,30
346,1140,5
946,1234,19
346,1234,5
908,1234,13
1001,1234,2
908,1001,2
1009,1234,1
0,946,10
0,1140,8
922,1103,6
922,1130,26
922,1234,31
922,930,22
930,1140,4
922,946,35
930,1117,10
1140,1172,1
1130,1172,2
946,1172,3
908,930,6
908,922,22
946,1103,8
946,1042,16
1140,1430,4
1042,1430,5
922,1430,6
908,1430,4
866,922,25
930,1042,9
866,908,9
908,946,12
166,922,2
166,908,1
166,1234,1
908,1042,8
930,938,4
0,908,4
922,938,19
908,938,13
938,946,12
487,922,2
487,1042,2
487,930,2
487,946,2
938,1117,19
922,1117,37
880,1117,8
154,880,8
154,1103,1
1042,1493,2
880,1140,4
1140,1151,2
880,1506,1
0,1506,3
0,487,1
1140,1506,4
487,1140,1
487,1506,1
866,1506,12
1234,1506,3
1102,1506,2
346,922,7
922,1102,6
346,1042,3
346,1102,4
1042,1102,6
487,866,1
487,1102,1
487,1264,1
487,1100,1
930,1264,7
1102,1264,5
1100,1102,5
946,1264,8
1042,1264,17
1100,1264,13
922,1264,21
1234,1264,9
629,938,2
629,922,5
922,1506,7
922,1140,6
946,1506,7
922,1395,1
930,1395,1
1234,1395,1
1042,1395,1
1264,1395,1
1130,1506,4
1264,1430,4
938,1430,3
938,1264,14
1117,1264,14
908,1117,8
866,1264,9
908,1264,5
1042,1130,17
938,1506,3
938,1102,2
1042,1506,5
1430,1506,3
1102,1117,9
1102,1430,1
346,1264,4
1140,1264,4
346,908,4
908,1140,4
190,922,1
190,1042,1
190,946,2
190,1117,1
842,1348,2
173,1506,1
173,1084,1
1084,1506,1
1026,1140,1
1026,1142,1
707,924,1
154,924,1
908,1516,2
888,1516,2
504,1246,1
197,428,3
554,866,2
811,908,3
428,1009,1
816,1060,3
185,923,1
812,1071,8
197,1056,2
0,1165,2
372,866,1
1027,1186,1
554,1001,2
554,1056,2
388,1056,2
286,1156,1
909,915,1
1007,1030,6
754,1524,1
1138,1211,1
1211,1463,2
754,1463,1
664,739,1
390,459,1
446,675,1
41,1476,1
35,1463,1
567,1201,2
902,1010,1
75,460,2
810,1374,1
832,880,5
908,1009,1
350,1108,5
967,1108,4
1060,1366,10
864,1076,1
707,1009,2
707,1124,1
707,832,4
1009,1124,1
880,1009,2
832,1009,2
922,1124,1
880,1124,1
1100,1124,1
832,1124,1
1076,1124,2
880,1076,9
922,1041,1
601,752,4
827,1076,16
1053,1286,1
832,1286,1
788,1097,7
866,1001,6
909,1026,1
501,1230,1
185,445,1
262,481,1
806,1026,1
856,1025,12
802,1076,8
810,1076,35
802,810,12
386,1115,2
852,1280,1
185,969,1
485,969,1
919,969,1
154,374,1
487,1414,2
875,1071,1
875,1121,3
875,1328,2
875,1159,3
1023,1159,4
350,902,1
902,967,1
1076,1107,4
824,1107,4
1107,1408,2
1045,1107,6
363,1107,5
1107,1109,1
824,1076,12
1076,1408,11
1045,1076,10
1076,1113,14
363,1076,14
1076,1109,3
154,824,12
154,363,9
154,1109,2
824,1408,8
824,1045,5
824,1113,6
363,824,10
824,1109,5
1045,1408,7
1113,1408,4
363,1408,7
1109,1408,4
1045,1113,8
363,1045,13
1045,1109,4
363,1113,6
1109,1113,2
363,1109,5
231,286,3
286,567,2
231,567,8
567,943,2
567,859,2
567,1056,5
859,943,2
943,1056,4
859,1056,4
1056,1113,7
438,1113,2
220,1113,5
220,438,3
438,932,3
220,932,10
368,707,3
0,707,1
90,428,4
0,90,1
90,922,1
803,1085,1
350,1085,1
350,803,9
180,1071,4
180,859,2
859,1071,5
1068,1084,2
1068,1081,2
154,454,2
501,827,8
969,1103,5
22,806,1
22,1027,1
22,116,1
980,1027,1
116,980,3
197,1374,1
166,832,1
832,1170,1
1100,1493,2
707,1493,2
1076,1493,1
922,1493,3
154,1493,1
932,1025,20
932,1516,6
629,827,7
827,946,2
1140,1155,7
368,1010,1
970,1081,2
1010,1081,2
1010,1084,1
970,1010,1
580,807,2
368,386,4
386,1328,1
386,1023,1
386,869,1
368,1023,7
368,869,1
1023,1328,1
869,1328,1
154,1023,8
869,1122,1
1122,1437,3
1115,1122,1
1056,1164,1
580,1084,1
428,1170,12
1028,1122,1
350,788,7
106,437,1
811,1170,2
732,771,2
849,928,1
90,1460,3
90,1122,2
1122,1460,4
238,647,2
647,804,1
238,804,1
802,1115,2
862,1115,1
707,1115,1
1081,1115,1
471,1115,1
802,1437,1
862,1437,1
707,1437,1
1081,1437,1
471,1437,1
802,862,1
707,802,1
802,1081,3
707,862,1
862,1081,1
471,862,2
707,1081,1
471,707,1
707,1119,1
471,1081,1
1081,1119,1
471,1119,1
1119,1122,2
629,717,3
629,910,2
717,910,3
116,802,4
116,1456,1
262,1122,1
1023,1122,6
916,1023,1
471,1117,6
895,1113,3
614,1516,2
1170,1516,2
166,1117,5
788,852,2
810,852,5
917,1046,2
874,1071,8
856,929,1
856,1001,1
1009,1211,1
154,862,1
910,941,5
294,1336,1
886,932,3
1328,1348,1
1328,1456,2
501,1286,2
961,1121,1
185,959,1
197,959,1
185,197,2
961,1053,1
1119,1155,2
0,1119,1
866,1119,2
916,1286,1
961,1102,1
1053,1140,3
1053,1142,3
909,1001,1
445,1056,1
802,1335,1
713,811,2
116,445,1
922,994,3
713,994,4
994,1264,2
866,994,23
994,1009,1
713,922,2
842,922,2
922,1155,23
713,1117,2
842,1117,5
1009,1117,1
713,842,2
713,930,2
713,1264,2
713,1155,2
713,866,2
713,1009,1
713,1516,2
842,930,2
842,1264,3
842,1155,2
842,866,6
842,1516,3
930,1009,1
930,1516,7
1155,1264,11
1009,1264,1
1264,1516,2
1009,1155,1
1009,1516,1
487,1122,2
471,487,1
1314,1493,6
0,909,3
483,718,3
853,994,1
1230,1286,2
1230,1523,1
608,1230,8
368,1009,1
1122,1140,1
166,1140,1
154,1140,1
166,1122,1
154,166,1
166,811,1
151,664,1
1009,1056,1
1056,1294,1
1009,1294,1
156,979,1
802,1068,1
1068,1186,1
446,1068,1
1009,1068,3
929,1068,1
802,1186,1
446,802,1
802,1009,1
802,929,1
446,1186,1
1009,1186,1
1081,1186,1
929,1186,2
446,1009,1
446,1081,1
446,929,1
1009,1081,1
929,1009,1
929,1081,1
1076,1304,1
388,832,1
185,832,1
185,388,1
1071,1115,13
614,662,1
485,1076,1
807,916,1
795,889,21
795,932,15
1315,1482,3
1482,1493,1
1315,1493,1
809,1041,1
1028,1170,1
902,979,1
902,994,2
197,902,1
386,902,3
902,1041,1
154,197,3
368,979,3
979,994,1
197,979,1
386,979,1
979,1041,1
197,368,5
368,1041,2
197,994,1
386,994,2
994,1041,1
197,386,1
197,1041,1
386,1041,1
909,1516,2
363,1007,4
1105,1142,6
143,1159,1
827,832,1
106,1248,6
386,1516,2
386,1506,1
616,1415,1
106,629,6
106,1100,4
802,1155,3
1056,1117,12
681,1117,4
629,802,4
629,1056,10
629,681,1
0,802,1
802,1056,7
681,802,3
802,980,1
802,866,5
0,1056,2
0,681,1
0,1023,1
681,1056,3
980,1056,3
866,1056,14
1023,1056,4
471,1056,4
681,980,3
681,866,2
681,1023,1
471,681,2
980,1023,1
471,980,2
866,1023,7
471,1023,3
1023,1524,1
471,1524,1
842,1230,8
807,1117,1
1029,1056,1
807,1029,1
807,980,1
807,1056,1
471,480,1
713,861,1
185,739,1
164,797,2
164,1390,1
919,1384,1
807,919,1
386,1056,3
931,1186,1
1103,1516,2
1081,1374,1
154,946,9
930,1097,6
346,1097,4
1100,1400,1
880,1400,1
1100,1115,3
106,946,4
902,946,1
910,946,5
902,910,2
866,902,1
866,910,3
910,994,8
346,910,4
856,946,9
946,1025,7
866,1025,11
1025,1185,1
1025,1092,3
946,1185,1
886,946,1
946,1092,1
866,1185,1
866,886,1
866,1092,3
1092,1185,1
1105,1185,4
856,1185,3
886,1092,1
886,1105,2
856,886,2
1092,1105,2
856,1092,1
154,346,6
346,949,2
946,949,1
154,1060,13
154,1162,5
949,994,3
994,1060,7
994,1162,5
949,1060,1
866,949,1
949,1162,1
1060,1162,4
346,1060,5
